n,label,log10A,s,shots,p_zero_exact,p_both_zero,p_zero_rare_event,p_zero_poisson
4,typical A,-1.4742643474882855,-0.9850696239987332,58.0,0.1422498501469137,0.1382086478550372,0.1428309881229542,0.146867272917383
4,typical A,-1.4742643474882855,-0.9850696239987332,70.0,0.0956944390517994,0.091772997822472,0.0954900494180859,0.0994332365527864
4,typical A,-1.4742643474882855,-0.9850696239987332,84.0,0.0604374594377633,0.0569190839693979,0.0596966199285336,0.0632623747507331
4,typical A,-1.4742643474882855,-0.9850696239987332,101.0,0.0347343089287236,0.0318673397735251,0.0337462317504915,0.0366795144011739
4,typical A,-1.4742643474882855,-0.9850696239987332,122.0,0.0176291136122552,0.015565400026814,0.0166806404053214,0.0188168669534453
4,typical A,-1.4742643474882855,-0.9850696239987332,146.0,0.0081842324752802,0.0068630898881611,0.0074556253255015,0.0088414417878043
4,typical A,-1.4742643474882855,-0.9850696239987332,176.0,0.0031699969260787,0.0024658629640432,0.0027247287131605,0.0034755914608777
4,typical A,-1.4742643474882855,-0.9850696239987332,212.0,0.0010300850250908,0.0007219515259787,0.0008141985048378,0.0011492823668189
4,typical A,-1.4742643474882855,-0.9850696239987332,255.0,0.0002737237710968,0.0001664633504157,0.000192368139409,0.000311745175812
4,typical A,-1.4742643474882855,-0.9850696239987332,307.0,5.627705832060281e-05,2.8233453199786156e-05,3.360375011298893e-05,6.569247669134352e-05
4,typical A,-1.4742643474882855,-0.9850696239987332,369.0,8.736746779475878e-06,3.404284005475224e-06,4.1968367836262245e-06,1.0500797086881607e-05
4,typical A,-1.4742643474882855,-0.9850696239987332,444.0,9.410027858334052e-07,2.634201005745758e-07,3.3885981028468873e-07,1.171650094788537e-06
4,typical A,-1.4742643474882855,-0.9850696239987332,534.0,6.65673829918952e-08,1.2217902736561791e-08,1.6540081446478267e-08,8.647762433804037e-08
4,typical A,-1.4742643474882855,-0.9850696239987332,642.0,2.841203726579405e-09,3.0662952217463755e-10,4.4132521378608986e-10,3.884450181454622e-09
4,typical A,-1.4742643474882855,-0.9850696239987332,772.0,6.529105686549679e-11,3.632682035231623e-12,5.628533370735896e-12,9.494085821610754e-11
